نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
شقة,الرياض, حي المروج ,جنوبية,4,1,3,249,True,False,True,3,0,False,1434000
شقة,الرياض, حي العارض ,شمالية غربية,3,1,3,199,False,False,True,علوي,0,False,980000
شقة,الرياض, حي النرجس ,غير معروف,3,1,3,145,True,False,True,أرضي,2,False,1050000
شقة,الرياض, حي النرجس ,شمالية,3,1,3,101,True,False,False,أرضي,0,True,1200000
شقة,الرياض, حي الياسمين ,شرقية,4,1,3,147,True,False,True,علوي,2,True,1200000
شقة,الرياض, حي الياسمين ,غير معروف,3,1,2,118,True,False,True,3,0,False,850000
شقة,الرياض, حي النرجس ,شرقية,3,1,3,112,True,False,False,أرضي,0,False,885000
شقة,الرياض, حي النرجس ,شرقية,2,1,3,100,True,False,True,3,0,False,1200000
شقة,الرياض, حي النرجس ,جنوبية شرقية,3,1,3,170,True,False,True,ثالث,-1,True,930000
شقة,الرياض, حي العقيق ,غير معروف,3,1,3,115,False,True,True,غير معروف,11,False,1100000
شقة,الرياض, حي القيروان ,شرقية,4,1,3,150,True,False,False,أرضي,0,False,1300000
شقة,الرياض, حي النرجس ,غير معروف,2,2,3,157,True,False,False,أرضي,0,False,950000
شقة,الرياض, حي الملقا ,شمالية غربية,4,1,3,124,True,False,True,علوي,0,False,959000
شقة,الرياض, حي الملقا ,غير معروف,3,1,3,140,False,False,True,علوي,0,False,1190000
شقة,الرياض, حي الملقا ,غير معروف,3,1,3,134,True,False,True,غير معروف,1,False,1320000
شقة,الرياض, حي النرجس ,جنوبية,4,1,3,120,True,False,False,أرضي,0,False,850000
شقة,الرياض, حي النخيل ,ثلاث شوارع,2,1,3,140,False,True,True,علوي,0,False,3300000
شقة,الرياض, حي الملقا ,غير معروف,3,1,3,116,True,True,True,أرضي,2,True,1100000
شقة,الرياض, حي القيروان ,غير معروف,3,1,3,100,True,True,True,أرضي,0,False,850000
شقة,الرياض, حي الياسمين ,غير معروف,3,1,3,112,False,False,False,أرضي,0,False,950000
شقة,الرياض, الرياض ,غير معروف,2,1,3,135,False,False,False,غير معروف,0,False,1375000
شقة,الرياض, حي الصحافة ,غير معروف,2,1,3,142,True,True,True,غير معروف,7,False,1980000
شقة,الرياض, حي الياسمين ,جنوبية,4,1,4,201,True,False,True,علوي,3,False,1400000
شقة,الرياض, حي العارض ,جنوبية شرقية,3,2,3,167,True,True,False,غير معروف,0,True,990000
شقة,الرياض, حي القيروان ,غير معروف,3,2,3,228,True,True,True,علوي,0,True,1850000
شقة,الرياض, حي الملقا ,غربية,3,2,3,178,True,True,True,غير معروف,0,False,1499000
شقة,الرياض, حي القيروان ,شرقية,3,1,3,104,True,True,False,أرضي,0,False,1100000
شقة,الرياض, حي النرجس ,جنوبية,3,1,3,185,True,False,True,علوي,2,True,1000000
شقة,الرياض, حي النرجس ,غير معروف,3,1,2,129,True,False,True,علوي,0,False,830000
شقة,الرياض, حي النفل ,شمالية,3,1,4,131,False,True,True,3,0,False,1070000
شقة,الرياض, حي الملقا ,شرقية,4,1,3,259,False,False,True,3,0,False,1450000
شقة,الرياض, حي الياسمين ,غير معروف,3,1,3,124,False,True,False,أرضي,0,False,990000
شقة,الرياض, حي الملقا ,غير معروف,3,1,3,121,False,False,True,علوي,0,False,1249000
شقة,الرياض, الرياض ,غربية,3,1,4,166,True,False,True,علوي,0,True,1190000
شقة,الرياض, حي النرجس ,غير معروف,4,2,4,155,True,True,True,أرضي,0,False,1205000
شقة,الرياض, حي النرجس ,جنوبية,2,2,3,117,False,False,True,3,0,False,899000
شقة,الرياض, حي النرجس ,جنوبية,3,1,3,137,True,False,False,علوي,1,False,850000
شقة,الرياض, حي حطين ,غير معروف,3,1,3,174,True,False,True,أرضي,0,False,1350000
شقة,الرياض, حي الربيع ,جنوبية,3,2,3,264,True,True,True,4,0,False,1800000
شقة,الرياض, حي العقيق ,جنوبية,3,1,3,139,True,True,True,3,10,False,800000
شقة,الرياض, حي الربيع ,جنوبية,2,1,2,123,True,False,False,ثاني,0,False,1379000
شقة,الرياض, حي النرجس ,شمالية,3,1,3,145,True,False,True,أرضي,2,False,1050000
شقة,الرياض, حي القيروان ,شمالية,4,1,2,199,True,False,False,علوي,0,False,1500000
شقة,الرياض, الرياض ,غير معروف,1,0,4,178,True,False,False,أرضي,2,False,1250000
شقة,الرياض, حي العقيق ,شمالية,4,1,3,220,True,True,True,3,0,False,800000
شقة,الرياض, حي الملقا ,شمالية,3,1,3,150,False,False,False,أرضي,0,False,1150000
شقة,الرياض, حي الصحافة ,جنوبية,3,1,3,143,False,False,False,دور 59,9,True,2630000
شقة,الرياض, حي الياسمين ,جنوبية,4,2,5+,178,True,True,True,علوي,0,False,900000
شقة,الرياض, حي العارض ,شمالية,3,1,3,142,True,True,True,علوي,0,False,799000
شقة,الرياض, حي المروج ,غير معروف,3,1,3,116,True,False,False,أرضي,0,False,969000
شقة,الرياض, حي الملقا ,شمالية,2,1,3,222,False,False,True,علوي,0,False,1199000
شقة,الرياض, حي الملقا ,شمالية,3,1,3,161,False,False,False,علوي,11,False,850000
شقة,الرياض, حي العارض ,جنوبية,3,1,3,188,True,True,False,غير معروف,0,False,1190000
شقة,الرياض, حي النرجس ,شمالية,3,1,3,188,True,False,True,3,0,False,980000
شقة,الرياض, حي النخيل ,غير معروف,5,1,4,216,False,False,False,أرضي,3,False,1100000
شقة,الرياض, الرياض ,شرقية,3,1,2,104,True,True,True,3,7,False,715000
شقة,الرياض, حي الملقا ,غير معروف,2,1,2,94,True,True,True,أرضي,0,True,1300000
شقة,الرياض, حي العارض ,غير معروف,3,1,3,176,False,False,False,علوي,0,False,1079000
شقة,الرياض, حي المصيف ,شرقية,2,1,2,103,False,False,True,غير معروف,0,False,849000
شقة,الرياض, حي النرجس ,غير معروف,3,0,3,131,True,False,False,أرضي,1,False,890000
شقة,الرياض, حي النرجس ,ثلاث شوارع,2,1,2,151,True,False,True,أرضي,0,False,896000
شقة,الرياض, الرياض ,جنوبية,4,1,3,151,True,True,True,3,0,True,1369000
شقة,الرياض, حي النرجس ,غير معروف,3,2,4,145,False,False,False,أرضي,0,False,1100000
شقة,الرياض, حي العليا ,ثلاث شوارع,4,2,5+,217,True,True,True,غير معروف,5,True,3500000
شقة,الرياض, حي النرجس ,شمالية,3,1,3,240,True,True,False,أرضي,0,False,1350000
شقة,الرياض, حي العارض ,شمالية,3,1,3,120,True,True,True,ارضي,0,False,1000000
شقة,الرياض, حي النرجس ,غير معروف,3,1,3,214,False,True,True,علوي,0,False,959000
شقة,الرياض, حي الفلاح ,غير معروف,3,1,3,132,False,False,False,علوي,0,False,1065000
شقة,الرياض, حي الملقا ,شرقية,3,1,4,148,True,False,True,علوي,0,True,1350000
شقة,الرياض, حي العارض ,غير معروف,3,1,2,109,True,False,True,علوي,4,False,820000
شقة,الرياض, حي الملقا ,شمالية,3,1,3,161,False,False,True,علوي,0,False,1429000
شقة,الرياض, حي العارض ,جنوبية,3,1,3,200,True,False,True,أرضي,0,False,1100000
شقة,الرياض, حي الملقا ,غير معروف,3,1,3,114,False,False,False,غير معروف,0,False,850000
شقة,الرياض, حي الملقا ,غربية,3,1,3,210,True,False,True,غير معروف,0,True,1700000
