نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,المساحة,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي,السعر المربع
فيلا,الرياض, حي العارض ,جنوبية,6,3,5,0.0,244.0,1,1,1,1,0,1,0,0,1,1,2300000.0,9426.22950819672
فيلا,الرياض, حي العارض ,جنوبية,6,4,5,0.0,322.0,1,1,1,1,1,1,0,0,1,1,3000000.0,9316.770186335403
فيلا,الرياض, حي العارض ,جنوبية,3,2,5,0.0,350.0,1,0,1,0,1,0,0,1,1,1,2600000.0,7428.571428571428
فيلا,الرياض, حي النرجس ,جنوبية,4,4,4,0.0,350.0,1,1,1,0,0,1,0,1,1,1,2600000.0,7428.571428571428
فيلا,الرياض, حي العارض ,غربية,4,1,5,0.0,270.0,1,1,1,1,0,0,0,0,1,0,2800000.0,10370.37037037037
فيلا,الرياض, حي النرجس ,شمالية,7,4,5,0.0,360.0,1,1,1,1,1,1,0,0,1,0,3500000.0,9722.222222222223
فيلا,الرياض, حي الملقا ,شرقية,3,3,3,0.0,437.0,0,1,1,1,0,0,0,0,1,0,4500000.0,10297.482837528603
فيلا,الرياض, حي الملقا ,شمالية,5,1,5,0.0,252.0,1,1,1,1,0,0,0,0,1,1,2800000.0,11111.111111111111
فيلا,الرياض, حي النخيل ,شمالية غربية,6,3,5,0.0,1200.0,1,1,1,1,1,1,1,1,1,1,17000000.0,14166.666666666666
فيلا,الرياض, حي الملقا ,شرقية,4,3,5,0.0,270.0,1,1,1,1,0,1,0,0,1,1,3600000.0,13333.333333333334
فيلا,الرياض, حي الملقا ,شرقية,6,1,5,0.0,250.0,1,1,1,0,1,1,1,1,1,1,2500000.0,10000.0
فيلا,الرياض, حي الملقا ,جنوبية,6,3,5,0.0,600.0,1,1,1,1,1,1,1,0,1,1,8500000.0,14166.666666666666
فيلا,الرياض, حي النرجس ,شمالية,7,3,5,0.0,225.0,1,0,1,0,0,1,0,0,1,1,3000000.0,13333.333333333334
فيلا,الرياض, حي النرجس ,شمالية,7,3,5,0.0,225.0,1,0,0,0,0,0,0,0,1,1,3000000.0,13333.333333333334
فيلا,الرياض, حي الملقا ,شرقية,5,3,5,0.0,437.0,1,1,1,1,1,1,0,0,1,1,8500000.0,19450.80091533181
فيلا,الرياض, حي النرجس ,جنوبية,5,1,4,0.0,276.0,1,1,1,1,1,1,0,0,1,0,2450000.0,8876.811594202898
فيلا,الرياض, حي التعاون ,غربية,7,3,5,0.0,359.0,1,1,1,1,1,1,0,0,1,1,3600000.0,10027.855153203343
فيلا,الرياض, حي الوادي ,غربية,5,3,4,0.0,375.0,1,1,1,1,0,1,0,0,1,0,2200000.0,5866.666666666667
فيلا,الرياض, حي الملقا ,شرقية,5,2,5,0.0,430.0,1,1,1,1,0,1,0,0,1,1,6000000.0,13953.488372093023
فيلا,الرياض, الرياض ,شمالية,5,3,5,0.0,280.0,1,1,1,1,0,1,0,0,1,1,2650000.0,9464.285714285714
فيلا,الرياض, الرياض ,جنوبية,4,3,5,15.0,274.0,1,1,1,1,0,1,1,0,1,1,2600000.0,9489.05109489051
فيلا,الرياض, حي النخيل ,جنوبية,6,2,5,0.0,750.0,1,1,1,1,1,1,1,0,1,0,8000000.0,10666.666666666666
فيلا,الرياض, حي العارض ,شمالية,6,3,5,0.0,500.0,1,1,1,1,1,1,1,0,1,1,5550000.0,11100.0
فيلا,الرياض, حي النرجس ,شمالية,5,1,5,0.0,228.0,1,1,1,0,0,1,0,0,1,0,2550000.0,11184.21052631579
فيلا,الرياض, حي الملقا ,شمالية غربية,7,3,5,0.0,1200.0,1,1,1,1,1,1,1,0,1,1,18000000.0,15000.0
فيلا,الرياض, حي الملقا ,شمالية غربية,5,3,5,0.0,400.0,1,1,1,1,1,1,1,0,1,1,4900000.0,12250.0
فيلا,الرياض, حي جامعة الملك سعود ,شمالية غربية,4,3,5,0.0,400.0,1,1,1,1,0,1,1,0,1,1,5500000.0,13750.0
فيلا,الرياض, حي الملقا ,شرقية,5,4,5,0.0,500.0,1,1,1,1,1,1,1,0,1,1,7500000.0,15000.0
فيلا,الرياض, حي العارض ,شمالية,4,3,5,0.0,300.0,1,1,1,1,0,0,0,0,1,1,2300000.0,7666.666666666667
فيلا,الرياض, حي الربيع ,شرقية,7,4,5,0.0,625.0,0,0,0,0,0,0,0,0,0,0,4375000.0,7000.0
فيلا,الرياض, حي الملقا ,شمالية غربية,5,4,5,0.0,620.0,1,1,1,1,1,1,1,0,1,1,10000000.0,16129.032258064517
فيلا,الرياض, حي الملقا ,غربية,7,3,5,0.0,800.0,1,1,1,1,1,1,1,0,1,0,10000000.0,12500.0
فيلا,الرياض, حي الملقا ,شرقية,4,3,5,0.0,500.0,1,1,1,1,1,1,0,0,1,1,6800000.0,13600.0
فيلا,الرياض, حي العارض ,غربية,6,2,5,0.0,900.0,1,0,1,1,0,1,0,0,1,0,8000000.0,8888.888888888889
فيلا,الرياض, حي النرجس ,شمالية,5,2,5,0.0,312.0,1,0,1,1,0,1,0,0,1,1,2750000.0,8814.102564102564
فيلا,الرياض, العيينة ,غربية,5,1,4,0.0,250.0,1,1,1,0,0,1,0,0,1,0,1280000.0,5120.0
فيلا,الرياض, حي العقيق ,شمالية,5,2,5,0.0,375.0,1,1,1,1,1,1,1,0,1,1,4500000.0,12000.0
فيلا,الرياض, العيينة ,جنوبية,4,1,5,0.0,280.0,0,1,0,0,1,0,0,0,0,0,1270000.0,4535.714285714285
فيلا,الرياض, حي الملقا ,شرقية,5,5,5,0.0,430.0,1,1,1,1,0,1,0,0,0,1,6000000.0,13953.488372093023
فيلا,الرياض, حي الملقا ,شمالية,5,2,5,0.0,287.0,1,1,1,1,0,1,0,0,1,1,3600000.0,12543.554006968641
فيلا,الرياض, حي الملقا ,جنوبية,5,2,5,0.0,253.0,1,1,1,1,0,1,0,0,1,1,3400000.0,13438.735177865612
فيلا,الرياض, حي الملقا ,شرقية,7,4,5,0.0,1750.0,1,0,1,1,1,1,0,0,1,1,22500000.0,12857.142857142857
فيلا,الرياض, حي الياسمين ,شمالية,4,2,5,0.0,420.0,1,0,1,1,0,1,0,0,1,0,3100000.0,7380.952380952381
فيلا,الرياض, حي النرجس ,شمالية,4,2,5,0.0,240.0,1,1,1,1,0,0,0,0,1,1,2750000.0,11458.333333333334
فيلا,الرياض, حي النخيل ,شرقية,4,3,5,0.0,260.0,1,0,1,1,1,1,1,0,1,1,3500000.0,13461.538461538461
فيلا,الرياض, حي العارض ,شمالية شرقية,4,3,5,0.0,221.0,1,1,1,0,1,0,0,0,1,1,2200000.0,9954.75113122172
فيلا,الرياض, حي العارض ,شمالية,4,3,5,0.0,204.0,1,1,1,0,1,0,0,0,1,1,2000000.0,9803.921568627451
فيلا,الرياض, حي الوادي ,غربية,5,4,5,0.0,375.0,1,1,1,1,1,1,0,0,1,0,2200000.0,5866.666666666667
فيلا,الرياض, حي العارض ,شمالية,6,2,4,0.0,400.0,1,1,1,0,0,1,0,0,1,0,3800000.0,9500.0
فيلا,الرياض, حي النرجس ,جنوبية شرقية,4,2,5,0.0,315.0,1,1,0,0,0,0,0,0,0,0,2900000.0,9206.349206349207
فيلا,الرياض, حي الياسمين ,شمالية,5,4,5,0.0,660.0,1,1,1,1,1,1,0,0,1,0,8000000.0,12121.212121212122
فيلا,الرياض, حي الملقا ,شرقية,5,3,5,0.0,525.0,1,1,1,1,0,1,1,1,1,1,9000000.0,17142.85714285714
فيلا,الرياض, حي النرجس ,جنوبية,5,3,5,0.0,300.0,1,1,1,1,0,0,1,0,0,1,2950000.0,9833.333333333334
فيلا,الرياض, حي العليا ,شرقية,5,3,5,0.0,260.0,1,0,1,0,1,1,0,0,1,1,2800000.0,10769.23076923077
فيلا,الرياض, حي النزهة ,شمالية شرقية,7,2,5,0.0,1050.0,1,1,1,1,1,1,0,1,1,1,7800000.0,7428.571428571428
فيلا,الرياض, حي الملقا ,شرقية,6,2,5,0.0,480.0,1,1,1,1,1,1,0,0,1,1,5500000.0,11458.333333333334
فيلا,الرياض, حي العارض ,جنوبية,5,2,5,0.0,360.0,1,1,1,1,1,1,0,0,1,1,2850000.0,7916.666666666667
فيلا,الرياض, حي العارض ,شمالية,7,5,5,0.0,630.0,0,1,1,0,1,1,0,0,1,0,6050000.0,9603.174603174602
فيلا,الرياض, حي التعاون ,غربية,4,7,5,20.0,420.0,1,1,1,1,0,1,0,0,1,1,5000000.0,11904.761904761905
فيلا,الرياض, حي التعاون ,شمالية,7,2,5,18.0,300.0,1,1,1,1,0,0,0,0,1,1,2850000.0,9500.0
فيلا,الرياض, حي العارض ,شمالية شرقية,7,3,5,0.0,221.0,1,0,1,1,0,1,0,0,1,1,2200000.0,9954.75113122172
فيلا,الرياض, حي العارض ,شمالية,7,3,5,0.0,300.0,1,0,1,1,0,1,0,0,1,1,2300000.0,7666.666666666667
فيلا,الرياض, حي العارض ,شمالية,6,3,5,0.0,204.0,1,0,1,0,0,1,0,0,1,1,2000000.0,9803.921568627451
فيلا,الرياض, حي النزهة ,ثلاث شوارع,7,4,5,0.0,2450.0,1,1,1,1,1,1,1,1,1,0,18000000.0,7346.938775510204
فيلا,الرياض, العيينة ,غربية,7,2,5,0.0,480.0,0,1,0,0,0,1,0,0,0,0,2300000.0,4791.666666666667
فيلا,الرياض, حي العارض ,شرقية,5,2,5,0.0,510.0,1,1,1,1,1,1,1,0,1,1,4000000.0,7843.137254901961
فيلا,الرياض, الرياض ,شمالية,5,3,5,0.0,280.0,1,1,1,1,0,1,0,0,1,0,2600000.0,9285.714285714286
فيلا,الرياض, حي العارض ,غربية,4,2,5,0.0,200.0,1,0,1,0,0,1,0,0,1,1,2100000.0,10500.0
فيلا,الرياض, حي العارض ,شمالية,7,3,5,0.0,399.0,0,1,1,1,1,1,0,0,1,0,3500000.0,8771.929824561403
فيلا,الرياض, حي الياسمين ,جنوبية,5,0,2,0.0,375.0,1,0,1,1,0,0,0,0,0,0,4600000.0,12266.666666666666
فيلا,الرياض, حي النرجس ,شرقية,6,2,5,0.0,450.0,1,1,1,0,1,1,1,0,1,1,2870000.0,6377.777777777777
فيلا,الرياض, حي القيروان ,شرقية,4,4,5,0.0,300.0,1,1,1,1,0,1,0,0,1,1,3600000.0,12000.0
فيلا,الرياض, حي القيروان ,جنوبية,5,3,5,5.0,275.0,1,1,1,1,1,1,0,0,1,1,3600000.0,13090.90909090909
فيلا,الرياض, حي النرجس ,شمالية,5,2,5,15.0,330.0,0,1,1,1,0,0,0,0,1,0,3300000.0,10000.0
